No,x,y,avg_M_x,avg_M_y,avg_M_z,avg_M_tot,z
12.0,0.0,0.0,-8.716,-21.439,-35.656,42.508,0
14.0,0.0,0.0,-9.697,-21.451,-35.325,42.451,0
15.0,0.0,0.0,-9.697,-21.451,-35.325,42.451,0
16.0,0.0,0.0,-8.993,-21.158,-34.992,41.869,0
18.0,0.0,0.0,-9.704,-21.16,-35.323,42.304,0
19.0,0.0,0.0,-10.599,-19.845,-36.303,42.709,0
22.0,0.0,0.0,-9.634,-19.536,-37.126,43.044,0
23.0,0.0,0.0,-9.596,-20.278,-35.976,42.397,0
27.0,0.0,0.0,-10.357,-18.814,-37.12,42.885,0
29.0,0.0,0.0,-10.63,-18.822,-36.624,42.528,0
30.0,0.0,0.0,-10.638,-18.816,-37.12,42.955,0
36.0,0.0,0.0,-10.054,-18.969,-36.13,42.027,0
37.0,0.0,0.0,-9.062,-19.394,-36.464,42.283,0
40.0,0.0,0.0,-9.794,-18.666,-36.953,42.543,0
41.0,0.0,0.0,-11.436,-19.715,-35.641,42.305,0
42.0,0.0,0.0,-11.461,-18.696,-35.632,41.839,0
43.0,0.0,0.0,-11.895,-19.407,-37.29,43.689,0
44.0,0.0,0.0,-10.768,-18.253,-35.628,41.454,0
45.0,0.0,0.0,-11.144,-20.149,-35.644,42.434,0
46.0,0.0,0.0,-11.438,-19.427,-35.308,41.891,0
47.0,0.0,0.0,-11.49,-18.676,-37.284,43.254,0
48.0,0.0,0.0,-12.037,-19.265,-37.124,43.522,0
49.0,0.0,0.0,-10.306,-20.28,-36.306,42.844,0
52.0,0.0,0.0,-11.599,-19.271,-36.298,42.702,0
54.0,0.0,0.0,-11.847,-19.726,-34.98,41.87,0
55.0,0.0,0.0,-10.574,-20.292,-35.48,42.219,0
57.0,0.0,0.0,-10.016,-20.139,-35.644,42.148,0
58.0,0.0,0.0,-12.028,-19.271,-36.628,43.101,0
60.0,0.0,0.0,-11.289,-19.861,-35.477,42.196,0
61.0,0.0,0.0,-9.589,-20.569,-35.978,42.538,0
62.0,0.0,0.0,-11.841,-20.446,-35.647,42.766,0
63.0,0.0,0.0,-9.067,-18.961,-36.13,41.798,0
66.0,0.0,0.0,-11.016,-19.28,-35.141,41.569,0
67.0,0.0,0.0,-11.026,-18.844,-35.138,41.368,0
68.0,0.0,0.0,-10.305,-20.567,-36.639,43.262,0
69.0,0.0,0.0,-10.57,-19.865,-34.651,41.316,0
70.0,0.0,0.0,-11.587,-19.566,-35.97,42.555,0
71.0,0.0,0.0,-11.614,-19.261,-37.124,43.406,0
73.0,0.0,0.0,-10.594,-20.278,-36.637,43.194,0
75.0,0.0,0.0,-10.013,-20.857,-36.477,43.195,0
76.0,0.0,0.0,-9.717,-20.865,-35.651,42.435,0
77.0,0.0,0.0,-11.145,-20.434,-36.143,42.989,0
78.0,0.0,0.0,-11.44,-20.141,-36.47,43.205,0
79.0,0.0,0.0,-9.909,-19.257,-36.298,42.267,0
80.0,0.0,0.0,-10.468,-20.123,-37.296,43.653,0
87.0,0.0,0.0,-10.606,-19.554,-36.3,42.574,0
89.0,0.0,0.0,-11.585,-19.281,-35.472,42.003,0
90.0,0.0,0.0,-10.625,-18.539,-35.961,41.83,0
91.0,0.0,0.0,-10.628,-19.253,-37.124,43.148,0
93.0,0.0,0.0,-9.767,-19.4,-36.464,42.442,0
